n1,n2,m1,m2,norm_m1m2,err_m1,err_m2,delvec,m1_true,m2_true,angle
-427,-354,-2,-1,2.23606797749979,5.578374560055721e-7,-1.115674133744804e-6,0.0012346575498165758,-1.999999442162544,-1.0000011156741337,11.94
-354,427,-1,2,2.23606797749979,-1.115674133744804e-6,-5.578374562276167e-7,0.0012346575498165758,-1.0000011156741337,1.9999994421625438,11.94
354,-427,1,-2,2.23606797749979,1.115674133744804e-6,5.578374562276167e-7,0.0012346575498165758,1.0000011156741337,-1.9999994421625438,11.94
427,354,2,1,2.23606797749979,-5.578374560055721e-7,1.115674133744804e-6,0.0012346575498165758,1.999999442162544,1.0000011156741337,11.94
-227,-100,-1,0,1.0,2.7782220968219917e-12,2.3571013558272854e-6,0.002333094568784954,-0.9999999999972218,2.3571013558272854e-6,22.62
-100,227,0,1,1.0,2.3571013557551834e-6,-2.7782220968219917e-12,0.002333094568732935,2.3571013557551834e-6,0.9999999999972218,22.62
100,-227,0,-1,1.0,-2.3571013557551834e-6,2.7782220968219917e-12,0.002333094568732935,-2.3571013557551834e-6,-0.9999999999972218,22.62
227,100,1,0,1.0,-2.7782220968219917e-12,-2.3571013558272854e-6,0.002333094568784954,0.9999999999972218,-2.3571013558272854e-6,22.62
-327,127,-1,1,1.4142135623730951,2.3571041338765752e-6,2.357098577654426e-6,0.003299493981454111,-0.9999976428958661,1.0000023570985777,22.62
-127,-327,-1,-1,1.4142135623730951,-2.357098577654426e-6,2.3571041339875975e-6,0.0032994939814011237,-1.0000023570985777,-0.999997642895866,22.62
127,327,1,1,1.4142135623730951,2.357098577654426e-6,-2.3571041339875975e-6,0.0032994939814011237,1.0000023570985777,0.999997642895866,22.62
327,-127,1,-1,1.4142135623730951,-2.3571041338765752e-6,-2.357098577654426e-6,0.003299493981454111,0.9999976428958661,-1.0000023570985777,22.62
-454,-200,-2,0,2.0,5.5564441936439835e-12,4.714202711654571e-6,0.004666189137569908,-1.9999999999944436,4.714202711654571e-6,22.62
-200,454,0,2,2.0,4.714202711510367e-6,-5.5564441936439835e-12,0.00466618913746587,4.714202711510367e-6,1.9999999999944436,22.62
200,-454,0,-2,2.0,-4.714202711510367e-6,5.5564441936439835e-12,0.00466618913746587,-4.714202711510367e-6,-1.9999999999944436,22.62
454,200,2,0,2.0,-5.5564441936439835e-12,-4.714202711654571e-6,0.004666189137569908,1.9999999999944436,-4.714202711654571e-6,22.62
-427,354,-1,2,2.23606797749979,4.714205489753098e-6,2.3570957994323294e-6,0.005216958053622397,-0.9999952857945102,2.0000023570957994,22.62
-354,-427,-2,-1,2.23606797749979,-2.3570957994323294e-6,4.714205489975143e-6,0.005216958053622397,-2.0000023570957994,-0.99999528579451,22.62
354,427,2,1,2.23606797749979,2.3570957994323294e-6,-4.714205489975143e-6,0.005216958053622397,2.0000023570957994,0.99999528579451,22.62
427,-354,1,-2,2.23606797749979,-4.714205489753098e-6,-2.3570957994323294e-6,0.005216958053622397,0.9999952857945102,-2.0000023570957994,22.62
