n1,n2,m1,m2,norm_m1m2,err_m1,err_m2,delvec,m1_true,m2_true,angle
-387,187,0,1,1.0,4.4350502981465315e-7,-8.119508435155964e-6,0.013946731836331907,4.4350502981465315e-7,0.9999918804915648,10.6
-187,-387,-1,0,1.0,8.119508435155964e-6,4.4350502978663066e-7,0.013946731836375714,-0.9999918804915648,4.4350502978663066e-7,10.6
187,387,1,0,1.0,-8.119508435155964e-6,-4.4350502978663066e-7,0.013946731836375714,0.9999918804915648,-4.4350502978663066e-7,10.6
387,-187,0,-1,1.0,-4.4350502981465315e-7,8.119508435155964e-6,0.013946731836331907,-4.4350502981465315e-7,-0.9999918804915648,10.6
