n1,n2,m1,m2,norm_m1m2,err_m1,err_m2,delvec,m1_true,m2_true,angle
-248,-5,-37,58,68.79680225126747,-7.451367949329324e-7,-4.753459066364485e-7,0.000012716339237779945,-37.000000745136795,57.99999952465409,2.31
-5,248,58,37,68.79680225126747,-4.753458924255938e-7,7.451367949329324e-7,0.00001271633919641643,57.99999952465411,37.000000745136795,2.31
5,-248,-58,-37,68.79680225126747,4.753458924255938e-7,-7.451367949329324e-7,0.00001271633919641643,-57.99999952465411,-37.000000745136795,2.31
248,5,37,-58,68.79680225126747,7.451367949329324e-7,4.753459066364485e-7,0.000012716339237779945,37.000000745136795,-57.99999952465409,2.31
-253,243,21,95,97.29337079164233,-1.2204826909112398e-6,2.697909025073386e-7,0.000017983619303293493,20.99999877951731,95.0000002697909,2.31
-243,-253,-95,21,97.29337079164233,-2.697909025073386e-7,-1.2204827051220946e-6,0.000017983619464038296,-95.0000002697909,20.999998779517295,2.31
243,253,95,-21,97.29337079164233,2.697909025073386e-7,1.2204827051220946e-6,0.000017983619464038296,95.0000002697909,-20.999998779517295,2.31
253,-243,-21,-95,97.29337079164233,1.2204826909112398e-6,-2.697909025073386e-7,0.000017983619303293493,-20.99999877951731,-95.0000002697909,2.31
-496,-10,-74,116,137.59360450253493,-1.4902735898658648e-6,-9.50691813272897e-7,0.00002543267847555989,-74.00000149027359,115.99999904930819,2.31
-10,496,116,74,137.59360450253493,-9.506917848511875e-7,1.4902735898658648e-6,0.00002543267839283286,115.99999904930822,74.00000149027359,2.31
10,-496,-116,-74,137.59360450253493,9.506917848511875e-7,-1.4902735898658648e-6,0.00002543267839283286,-115.99999904930822,-74.00000149027359,2.31
496,10,74,-116,137.59360450253493,1.4902735898658648e-6,9.50691813272897e-7,0.00002543267847555989,74.00000149027359,-115.99999904930819,2.31
-491,-258,-132,79,153.83432646844463,-1.014927676123989e-6,-1.6958286153112567e-6,0.000028434598997415507,-132.00000101492768,78.99999830417138,2.31
-258,491,79,132,153.83432646844463,-1.6958285726786926e-6,1.014927676123989e-6,0.00002843459858461072,78.99999830417143,132.00000101492768,2.31
258,-491,-79,-132,153.83432646844463,1.6958285726786926e-6,-1.014927676123989e-6,0.00002843459858461072,-78.99999830417143,-132.00000101492768,2.31
491,258,132,-79,153.83432646844463,1.014927676123989e-6,1.6958286153112567e-6,0.000028434598997415507,132.00000101492768,-78.99999830417138,2.31
-8,-1,-1,2,2.23606797749979,-1.1413684988248463e-6,-5.706846566422286e-7,0.000018359750850817145,-1.0000011413684988,1.9999994293153434,14.25
-1,8,2,1,2.23606797749979,-5.706846568642732e-7,1.1413684988248463e-6,0.000018359750850817145,1.9999994293153431,1.0000011413684988,14.25
1,-8,-2,-1,2.23606797749979,5.706846568642732e-7,-1.1413684988248463e-6,0.000018359750850817145,-1.9999994293153431,-1.0000011413684988,14.25
8,1,1,-2,2.23606797749979,1.1413684988248463e-6,5.706846566422286e-7,0.000018359750850817145,1.0000011413684988,-1.9999994293153434,14.25
-9,7,1,3,3.1622776601683795,-1.7120531555780971e-6,5.706838424046623e-7,0.00002596460865190064,0.9999982879468444,3.0000005706838424,14.25
-7,-9,-3,1,3.1622776601683795,-5.706838419605731e-7,-1.7120531553560525e-6,0.00002596460865190064,-3.000000570683842,0.9999982879468446,14.25
7,9,3,-1,3.1622776601683795,5.706838419605731e-7,1.7120531553560525e-6,0.00002596460865190064,3.000000570683842,-0.9999982879468446,14.25
9,-7,-1,-3,3.1622776601683795,1.7120531555780971e-6,-5.706838424046623e-7,0.00002596460865190064,-0.9999982879468444,-3.0000005706838424,14.25
-16,-2,-2,4,4.47213595499958,-2.2827369976496925e-6,-1.1413693132844571e-6,0.00003671950170163429,-2.0000022827369976,3.9999988586306867,14.25
-2,16,4,2,4.47213595499958,-1.1413693137285463e-6,2.2827369976496925e-6,0.00003671950170163429,3.9999988586306863,2.0000022827369976,14.25
2,-16,-4,-2,4.47213595499958,1.1413693137285463e-6,-2.2827369976496925e-6,0.00003671950170163429,-3.9999988586306863,-2.0000022827369976,14.25
16,2,2,-4,4.47213595499958,2.2827369976496925e-6,1.1413693132844571e-6,0.00003671950170163429,2.0000022827369976,-3.9999988586306867,14.25
-17,6,0,5,5.0,-2.853421654662121e-6,-8.135714324453147e-13,0.000041053650955539846,-2.853421654662121e-6,4.999999999999186,14.25
-15,-10,-4,3,5.0,-1.7120523407854193e-6,-2.2827378121093034e-6,0.000041053650953372085,-4.000001712052341,2.999997717262188,14.25
-10,15,3,4,5.0,-2.2827378125533926e-6,1.7120523416735978e-6,0.000041053650953372085,2.9999977172621874,4.000001712052342,14.25
-6,-17,-5,0,5.0,8.144596108650148e-13,-2.8534216542686963e-6,0.000041053650955539846,-4.9999999999991855,-2.8534216542686963e-6,14.25
6,17,5,0,5.0,-8.144596108650148e-13,2.8534216542686963e-6,0.000041053650955539846,4.9999999999991855,2.8534216542686963e-6,14.25
10,-15,-3,-4,5.0,2.2827378125533926e-6,-1.7120523416735978e-6,0.000041053650953372085,-2.9999977172621874,-4.000001712052342,14.25
15,10,4,-3,5.0,1.7120523407854193e-6,2.2827378121093034e-6,0.000041053650953372085,4.000001712052341,-2.999997717262188,14.25
17,-6,0,-5,5.0,2.853421654662121e-6,8.135714324453147e-13,0.000041053650955539846,2.853421654662121e-6,-4.999999999999186,14.25
-18,14,2,6,6.324555320336759,-3.4241063111561942e-6,1.1413676848093246e-6,0.00005192921730380128,1.9999965758936888,6.000001141367685,14.25
-14,-18,-6,2,6.324555320336759,-1.1413676839211462e-6,-3.424106310712105e-6,0.00005192921730380128,-6.000001141367684,1.9999965758936893,14.25
14,18,6,-2,6.324555320336759,1.1413676839211462e-6,3.424106310712105e-6,0.00005192921730380128,6.000001141367684,-1.9999965758936893,14.25
18,-14,-2,-6,6.324555320336759,3.4241063111561942e-6,-1.1413676848093246e-6,0.00005192921730380128,-1.9999965758936888,-6.000001141367685,14.25
-24,-3,-3,6,6.708203932499369,-3.424105496918628e-6,-1.712053969704641e-6,0.000055079252550248135,-3.000003424105497,5.99999828794603,14.25
-153,76,6,47,47.38143096192854,-8.13396028398472e-6,1.0383771780198003e-6,0.00011797722870618195,5.999991866039716,47.00000103837718,14.55
-76,-153,-47,6,47.38143096192854,-1.038377192230655e-6,-8.13396028931379e-6,0.00011797722870618195,-47.00000103837719,5.999991866039711,14.55
76,153,47,-6,47.38143096192854,1.038377192230655e-6,8.13396028931379e-6,0.00011797722870618195,47.00000103837719,-5.999991866039711,14.55
153,-76,-6,-47,47.38143096192854,8.13396028398472e-6,-1.0383771780198003e-6,0.00011797722870618195,-5.999991866039716,-47.00000103837718,14.55
-229,-77,-41,53,67.00746227100382,-9.172337477991732e-6,-7.095583100635849e-6,0.0001668449968870044,-41.00000917233748,52.9999929044169,14.55
-77,229,53,41,67.00746227100382,-7.095583086424995e-6,9.172337470886305e-6,0.00016684499683312524,52.999992904416914,41.00000917233747,14.55
77,-229,-53,-41,67.00746227100382,7.095583086424995e-6,-9.172337470886305e-6,0.00016684499683312524,-52.999992904416914,-41.00000917233747,14.55
229,77,41,-53,67.00746227100382,9.172337477991732e-6,7.095583100635849e-6,0.0001668449968870044,41.00000917233748,-52.9999929044169,14.55
-243,110,12,73,73.97972695272672,3.916201483988857e-6,-6.437592503516498e-7,0.00005710060715975135,12.000003916201484,72.99999935624075,18.67
-110,-243,-73,12,73.97972695272672,6.437592503516498e-7,3.916201480436143e-6,0.00005710060715975135,-72.99999935624075,12.00000391620148,18.67
110,243,73,-12,73.97972695272672,-6.437592503516498e-7,-3.916201480436143e-6,0.00005710060715975135,72.99999935624075,-12.00000391620148,18.67
243,-110,-12,-73,73.97972695272672,-3.916201483988857e-6,6.437592503516498e-7,0.00005710060715975135,-12.000003916201484,-72.99999935624075,18.67
-353,-133,-61,85,104.62313319720452,4.559960743222291e-6,3.272442214097282e-6,0.00008075245321152807,-60.99999544003926,85.00000327244221,18.67
-133,353,85,61,104.62313319720452,3.2724422283081367e-6,-4.559960743222291e-6,0.00008075245313136165,85.00000327244223,60.99999544003926,18.67
133,-353,-85,-61,104.62313319720452,-3.2724422283081367e-6,4.559960743222291e-6,0.00008075245313136165,-85.00000327244223,-60.99999544003926,18.67
353,133,61,-85,104.62313319720452,-4.559960743222291e-6,-3.272442214097282e-6,0.00008075245321152807,60.99999544003926,-85.00000327244221,18.67
-486,220,24,146,147.95945390545344,7.832402967977714e-6,-1.2875185007032997e-6,0.0001142012143195027,24.000007832402968,145.9999987124815,18.67
-220,-486,-146,24,147.95945390545344,1.2875185007032997e-6,7.832402960872287e-6,0.0001142012143195027,-145.9999987124815,24.00000783240296,18.67
220,486,146,-24,147.95945390545344,-1.2875185007032997e-6,-7.832402960872287e-6,0.0001142012143195027,145.9999987124815,-24.00000783240296,18.67
486,-220,-24,-146,147.95945390545344,-7.832402967977714e-6,1.2875185007032997e-6,0.0001142012143195027,-24.000007832402968,-145.9999987124815,18.67
-463,-376,-134,97,165.42369842317032,5.203719979363086e-6,7.1886436927570685e-6,0.00012768083893412667,-133.99999479628002,97.00000718864369,18.67
-376,463,97,134,165.42369842317032,7.188643706967923e-6,-5.203720007784796e-6,0.00012768083893412667,97.0000071886437,133.99999479628,18.67
376,-463,-97,-134,165.42369842317032,-7.188643706967923e-6,5.203720007784796e-6,0.00012768083893412667,-97.0000071886437,-133.99999479628,18.67
463,376,134,-97,165.42369842317032,-5.203719979363086e-6,-7.1886436927570685e-6,0.00012768083893412667,133.99999479628002,-97.00000718864369,18.67
-12,-5,-2,3,3.605551275463989,7.0713096236296735e-6,4.714194377530845e-6,0.00012227446368329127,-1.9999929286903764,3.0000047141943775,22.62
-5,12,3,2,3.605551275463989,4.714194377530845e-6,-7.071309623407629e-6,0.00012227446368001186,3.0000047141943775,1.9999929286903766,22.62
5,-12,-3,-2,3.605551275463989,-4.714194377530845e-6,7.071309623407629e-6,0.00012227446368001186,-3.0000047141943775,-1.9999929286903766,22.62
12,5,2,-3,3.605551275463989,-7.0713096236296735e-6,-4.714194377530845e-6,0.00012227446368329127,1.9999929286903764,-3.0000047141943775,22.62
-184,-81,-30,47,55.758407437802596,5.729325877723568e-6,3.657016016234138e-6,0.00009779166575054494,-29.999994270674122,47.000003657016016,24.900000000000002
-81,184,47,30,55.758407437802596,3.657016016234138e-6,-5.729325884828995e-6,0.00009779166584837543,47.000003657016016,29.999994270674115,24.900000000000002
81,-184,-47,-30,55.758407437802596,-3.657016016234138e-6,5.729325884828995e-6,0.00009779166584837543,-47.000003657016016,-29.999994270674115,24.900000000000002
184,81,30,-47,55.758407437802596,-5.729325877723568e-6,-3.657016016234138e-6,0.00009779166575054494,29.999994270674122,-47.000003657016016,24.900000000000002
-265,103,17,77,78.85429601486528,9.386341904615847e-6,-2.0723098543840024e-6,0.00013829830004745823,17.000009386341905,76.99999792769015,24.900000000000002
-103,-265,-77,17,78.85429601486528,2.0723098401731477e-6,9.386341901063133e-6,0.00013829829999447614,-76.99999792769016,17.0000093863419,24.900000000000002
103,265,77,-17,78.85429601486528,-2.0723098401731477e-6,-9.386341901063133e-6,0.00013829829999447614,76.99999792769016,-17.0000093863419,24.900000000000002
265,-103,-17,-77,78.85429601486528,-9.386341904615847e-6,2.0723098543840024e-6,0.00013829830004745823,-17.000009386341905,-76.99999792769015,24.900000000000002
-121,46,8,35,35.90264614203248,-1.905426104897856e-6,4.355259122235111e-7,0.000028121362306796988,7.999998094573895,35.00000043552591,25.75
-46,-121,-35,8,35.90264614203248,-4.3552591932893847e-7,-1.9054261066742129e-6,0.000028121362306796988,-35.00000043552592,7.999998094573893,25.75
46,121,35,-8,35.90264614203248,4.3552591932893847e-7,1.9054261066742129e-6,0.000028121362306796988,35.00000043552592,-7.999998094573893,25.75
121,-46,-8,-35,35.90264614203248,1.905426104897856e-6,-4.355259122235111e-7,0.000028121362306796988,-7.999998094573895,-35.00000043552591,25.75
-167,-75,-27,43,50.774009099144415,-2.3409520224504377e-6,-1.469900190897988e-6,0.000039769611943392055,-27.000002340952022,42.99999853009981,25.75
-75,167,43,27,50.774009099144415,-1.469900190897988e-6,2.340952018897724e-6,0.000039769611943392055,42.99999853009981,27.00000234095202,25.75
75,-167,-43,-27,50.774009099144415,1.469900190897988e-6,-2.340952018897724e-6,0.000039769611943392055,-42.99999853009981,-27.00000234095202,25.75
167,75,27,-43,50.774009099144415,2.3409520224504377e-6,1.469900190897988e-6,0.000039769611943392055,27.000002340952022,-42.99999853009981,25.75
-242,92,16,70,71.80529228406496,-3.810852209795712e-6,8.710518244470222e-7,0.000056242724613593976,15.99999618914779,70.00000087105182,25.75
-92,-242,-70,16,71.80529228406496,-8.710518386578769e-7,-3.8108522133484257e-6,0.000056242724613593976,-70.00000087105184,15.999996189147787,25.75
92,242,70,-16,71.80529228406496,8.710518386578769e-7,3.8108522133484257e-6,0.000056242724613593976,70.00000087105184,-15.999996189147787,25.75
242,-92,-16,-70,71.80529228406496,3.810852209795712e-6,-8.710518244470222e-7,0.000056242724613593976,-15.99999618914779,-70.00000087105182,25.75
-288,-29,-19,78,80.2807573457052,-4.2463781291246505e-6,-1.034374278674477e-6,0.0000628812776954803,-19.00000424637813,77.99999896562572,25.75
-213,-196,-62,51,80.2807573457052,-2.776477941779376e-6,-3.3753262940194872e-6,0.0000628812776994079,-62.00000277647794,50.999996624673706,25.75
-196,213,51,62,80.2807573457052,-3.3753262940194872e-6,2.7764779346739488e-6,0.0000628812776994079,50.999996624673706,62.000002776477935,25.75
-29,288,78,19,80.2807573457052,-1.034374278674477e-6,4.246378122019223e-6,0.0000628812776954803,77.99999896562572,19.000004246378122,25.75
29,-288,-78,-19,80.2807573457052,1.034374278674477e-6,-4.246378122019223e-6,0.0000628812776954803,-77.99999896562572,-19.000004246378122,25.75
196,-213,-51,-62,80.2807573457052,3.3753262940194872e-6,-2.7764779346739488e-6,0.0000628812776994079,-50.999996624673706,-62.000002776477935,25.75
213,196,62,-51,80.2807573457052,2.776477941779376e-6,3.3753262940194872e-6,0.0000628812776994079,62.00000277647794,-50.999996624673706,25.75
288,29,19,-78,80.2807573457052,4.2463781291246505e-6,1.034374278674477e-6,0.0000628812776954803,19.00000424637813,-77.99999896562572,25.75
-334,-150,-54,86,101.54801819828883,-4.681904044900875e-6,-2.939800381795976e-6,0.00007953922388678411,-54.000004681904045,85.99999706019962,25.75
-150,334,86,54,101.54801819828883,-2.939800381795976e-6,4.681904037795448e-6,0.00007953922388678411,85.99999706019962,54.00000468190404,25.75
150,-334,-86,-54,101.54801819828883,2.939800381795976e-6,-4.681904037795448e-6,0.00007953922388678411,-85.99999706019962,-54.00000468190404,25.75
334,150,54,-86,101.54801819828883,4.681904044900875e-6,2.939800381795976e-6,0.00007953922388678411,54.000004681904045,-85.99999706019962,25.75
-363,138,24,105,107.70793842609746,-5.716278316469925e-6,1.3065777437759607e-6,0.00008436408690019149,23.999994283721684,105.00000130657774,25.75
-287,-138,-45,76,88.32326986700618,-4.0196198085595825e-6,-2.3800381967475914e-6,0.0000672097630620473,-45.00000401961981,75.9999976199618,28.740000000000002
-138,287,76,45,88.32326986700618,-2.3800381967475914e-6,4.0196198085595825e-6,0.00006720976316450517,75.9999976199618,45.00000401961981,28.740000000000002
138,-287,-76,-45,88.32326986700618,2.3800381967475914e-6,-4.0196198085595825e-6,0.00006720976316450517,-75.9999976199618,-45.00000401961981,28.740000000000002
287,138,45,-76,88.32326986700618,4.0196198085595825e-6,2.3800381967475914e-6,0.0000672097630620473,45.00000401961981,-75.9999976199618,28.740000000000002
-425,149,31,121,124.90796611905904,-6.399658012412601e-6,1.639581611811991e-6,0.00009504895862873958,30.999993600341988,121.00000163958161,28.740000000000002
-149,-425,-121,31,124.90796611905904,-1.639581611811991e-6,-6.39965800175446e-6,0.00009504895833894499,-121.00000163958161,30.999993600342,28.740000000000002
149,425,121,-31,124.90796611905904,1.639581611811991e-6,6.39965800175446e-6,0.00009504895833894499,121.00000163958161,-30.999993600342,28.740000000000002
425,-149,-31,-121,124.90796611905904,6.399658012412601e-6,-1.639581611811991e-6,0.00009504895862873958,-30.999993600341988,-121.00000163958161,28.740000000000002
