n1,n2,m1,m2,norm_m1m2,err_m1,err_m2,delvec,m1_true,m2_true,angle
-101,32,-2,1,2.23606797749979,-3.3997595085821786e-6,-6.799547913161064e-6,0.0014373317036695749,-2.0000033997595086,0.9999932004520868,1.71
-32,-101,-1,-2,2.23606797749979,6.799547913161064e-6,-3.3997595081380894e-6,0.0014373317036560278,-0.9999932004520868,-2.000003399759508,1.71
32,101,1,2,2.23606797749979,-6.799547913161064e-6,3.3997595081380894e-6,0.0014373317036560278,0.9999932004520868,2.000003399759508,1.71
101,-32,2,-1,2.23606797749979,3.3997595085821786e-6,6.799547913161064e-6,0.0014373317036695749,2.0000033997595086,-0.9999932004520868,1.71
-129,112,-2,3,3.605551275463989,7.590499418119734e-6,5.060319073990627e-6,0.0017248158552681209,-1.9999924095005819,3.000005060319074,8.07
-112,-129,-3,-2,3.605551275463989,-5.060319074434716e-6,7.590499418563823e-6,0.001724815855225198,-3.0000050603190744,-1.9999924095005814,8.07
112,129,3,2,3.605551275463989,5.060319074434716e-6,-7.590499418563823e-6,0.001724815855225198,3.0000050603190744,1.9999924095005814,8.07
129,-112,2,-3,3.605551275463989,-7.590499418119734e-6,-5.060319073990627e-6,0.0017248158552681209,1.9999924095005819,-3.000005060319074,8.07
-167,36,-3,2,3.605551275463989,-1.1413681728633662e-6,-1.7120533186698594e-6,0.0003890361456600749,-3.000001141368173,1.9999982879466813,14.25
-36,-167,-2,-3,3.605551275463989,1.7120533186698594e-6,-1.1413681733074554e-6,0.00038903614573959893,-1.9999982879466813,-3.0000011413681733,14.25
36,167,2,3,3.605551275463989,-1.7120533186698594e-6,1.1413681733074554e-6,0.00038903614573959893,1.9999982879466813,3.0000011413681733,14.25
167,-36,3,-2,3.605551275463989,1.1413681728633662e-6,1.7120533186698594e-6,0.0003890361456600749,3.000001141368173,-1.9999982879466813,14.25
-203,-131,-5,-1,5.0990195135927845,5.706851462505824e-7,-2.8534214921993595e-6,0.0005501801935637082,-4.999999429314854,-1.0000028534214922,14.25
-131,203,-1,5,5.0990195135927845,-2.8534214917552703e-6,-5.70685145362404e-7,0.0005501801935020648,-1.0000028534214918,4.999999429314855,14.25
