,degree,n1,n2,n1p,n2p,vec_del,delta_angle,norm,A1,A2
0,21.000000000000156,1,3,3,2,0.08963999839301545,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
1,21.010000000000158,1,3,3,2,0.08850070205659649,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
2,21.02000000000016,3,2,1,3,0.08736140504620656,4.106297524231195e-10,11.30654896778869,[ 6.16822815 -2.13673691  0.        ],[4.93458252 4.27347382 0.        ]
3,21.03000000000016,3,2,1,3,0.08622210737052093,4.106297524231195e-10,11.30654896778869,[ 6.16822815 -2.13673691  0.        ],[4.93458252 4.27347382 0.        ]
4,21.040000000000163,3,2,1,3,0.08508280903821658,4.106297524231195e-10,11.30654896778869,[ 6.16822815 -2.13673691  0.        ],[4.93458252 4.27347382 0.        ]
5,21.050000000000164,1,3,3,2,0.08394351005796942,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
6,21.060000000000166,1,3,3,2,0.08280421043845573,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
7,21.070000000000167,1,3,3,2,0.0816649101883516,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
8,21.08000000000017,1,3,3,2,0.0805256093163347,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
9,21.09000000000017,1,3,3,2,0.07938630783107938,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
10,21.100000000000172,1,3,3,2,0.07824700574126225,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
11,21.110000000000174,3,2,1,3,0.07710770305556237,4.106297524231195e-10,11.30654896778869,[ 6.16822815 -2.13673691  0.        ],[4.93458252 4.27347382 0.        ]
12,21.120000000000175,3,2,1,3,0.0759683997826518,4.106297524231195e-10,11.30654896778869,[ 6.16822815 -2.13673691  0.        ],[4.93458252 4.27347382 0.        ]
13,21.130000000000177,1,3,3,2,0.07482909593120857,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
14,21.140000000000178,1,3,3,2,0.07368979150991026,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
15,21.15000000000018,1,3,3,2,0.07255048652743154,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
16,21.16000000000018,1,3,3,2,0.07141118099244997,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
17,21.170000000000183,1,3,3,2,0.0702718749136401,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
18,21.180000000000184,1,3,3,2,0.06913256829967973,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
19,21.190000000000186,3,2,1,3,0.06799326115924424,4.106297524231195e-10,11.30654896778869,[ 6.16822815 -2.13673691  0.        ],[4.93458252 4.27347382 0.        ]
20,21.200000000000188,1,3,3,2,0.06685395350101246,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
21,21.21000000000019,1,3,3,2,0.06571464533365744,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
22,21.22000000000019,3,2,1,3,0.06457533666585537,4.106297524231195e-10,11.30654896778869,[ 6.16822815 -2.13673691  0.        ],[4.93458252 4.27347382 0.        ]
23,21.230000000000192,3,2,1,3,0.06343602750628549,4.106297524231195e-10,11.30654896778869,[ 6.16822815 -2.13673691  0.        ],[4.93458252 4.27347382 0.        ]
24,21.240000000000194,1,3,3,2,0.06229671786362282,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
25,21.250000000000195,3,2,1,3,0.061157407746542554,4.106297524231195e-10,11.30654896778869,[ 6.16822815 -2.13673691  0.        ],[4.93458252 4.27347382 0.        ]
26,21.260000000000197,1,3,3,2,0.06001809716372218,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
27,21.2700000000002,3,2,1,3,0.05887878612383884,4.106297524231195e-10,11.30654896778869,[ 6.16822815 -2.13673691  0.        ],[4.93458252 4.27347382 0.        ]
28,21.2800000000002,1,3,3,2,0.057739474635567285,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
29,21.2900000000002,3,2,1,3,0.05660016270758364,4.106297524231195e-10,11.30654896778869,[ 6.16822815 -2.13673691  0.        ],[4.93458252 4.27347382 0.        ]
30,21.300000000000203,3,2,1,3,0.055460850348566244,4.106297524231195e-10,11.30654896778869,[ 6.16822815 -2.13673691  0.        ],[4.93458252 4.27347382 0.        ]
31,21.310000000000205,1,3,3,2,0.05432153756719019,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
32,21.320000000000206,1,3,3,2,0.053182224372132006,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
33,21.330000000000208,1,3,3,2,0.05204291077206673,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
34,21.34000000000021,1,3,3,2,0.0509035967756739,4.106297524231195e-10,11.30654896778869,[4.93458252 4.27347382 0.        ],[ 6.16822815 -2.13673691  0.        ]
