# LAMMPS data file written by OVITO Basic 3.10.1

43784 atoms
3 atom types

0.0 81.8757336506 xlo xhi
0.0 81.8757336506 ylo yhi
0.0 135.328557986 zlo zhi

Masses

1 137.3269999647  # Ba
2 15.9989999959  # O
3 47.8669999877  # Ti

Atoms  # atomic

1 1 79.0071688368 80.5629967598 3.08742
2 1 79.0071688368 80.5629967598 7.19007
3 1 79.0071688368 80.5629967598 11.29273
4 1 79.0071688368 80.5629967598 15.39538
5 1 79.0071688368 80.5629967598 19.49804
6 1 79.0071688368 80.5629967598 23.6007
7 1 79.0071688368 80.5629967598 27.70335
8 1 79.0071688368 80.5629967598 31.80601
9 1 79.0071688368 80.5629967598 35.90866
10 1 79.0071688368 80.5629967598 40.01132
11 1 79.0071688368 80.5629967598 44.11397
12 1 81.7298779367 77.6458084385 3.08742
13 1 81.7298779367 77.6458084385 7.19007
14 1 81.7298779367 77.6458084385 11.29273
15 1 81.7298779367 77.6458084385 15.39538
16 1 81.7298779367 77.6458084385 19.49804
17 1 81.7298779367 77.6458084385 23.6007
18 1 81.7298779367 77.6458084385 27.70335
19 1 81.7298779367 77.6458084385 31.80601
20 1 81.7298779367 77.6458084385 35.90866
21 1 81.7298779367 77.6458084385 40.01132
22 1 81.7298779367 77.6458084385 44.11397
23 3 81.8271175474 80.465757149 5.21055
24 3 81.8271175474 80.465757149 9.3132
25 3 81.8271175474 80.465757149 13.41586
26 3 81.8271175474 80.465757149 17.51851
27 3 81.8271175474 80.465757149 21.62117
28 3 81.8271175474 80.465757149 25.72382
29 3 81.8271175474 80.465757149 29.82648
30 3 81.8271175474 80.465757149 33.92914
31 3 81.8271175474 80.465757149 38.03179
32 3 81.8271175474 80.465757149 42.13445
33 2 81.8271175474 80.465757149 2.94969
34 2 80.3685233868 79.1044025991 5.06358
35 2 81.8271175474 80.465757149 7.05235
36 2 80.3685233868 79.1044025991 9.16624
37 2 81.8271175474 80.465757149 11.155
