angle,v1x,v1y,v2x,v2y,angle_v1v2
2.31,989.6140155848001,19.951895475500002,-19.951895475500002,989.6140155848001,90.0
2.5300000000000002,618.5087597405001,646.4414134062,-646.4414134062,618.5087597405001,90.0
9.33,1145.2388002937,1348.7481341438001,-1348.7481341438001,1145.2388002937,90.0
9.35,1707.8822527028,139.6632683285,-139.6632683285,1707.8822527028,90.0
9.96,438.94170046100004,522.7396614581,-522.7396614581,438.94170046100004,90.0
14.25,31.9230327608,3.9903790951,-3.9903790951,31.9230327608,90.0
14.55,187.54781746970002,23.942274570600002,-23.942274570600002,187.54781746970002,90.0
16.740000000000002,682.3548252621,917.7871918730001,-917.7871918730001,682.3548252621,90.0
17.22,1017.5466692505,1380.6711669046,-1380.6711669046,1017.5466692505,90.0
18.67,291.29767394230004,47.884549141200004,-47.884549141200004,291.29767394230004,90.0
18.75,1241.0078985761002,1731.8245272734,-1731.8245272734,1241.0078985761002,90.0
22.62,7.9807581902,11.971137285300001,-11.971137285300001,7.9807581902,90.0
23.85,1125.2869048182001,1727.8341481783,-1727.8341481783,1125.2869048182001,90.0
24.900000000000002,119.711372853,187.54781746970002,-187.54781746970002,119.711372853,90.00000000000001
25.75,139.6632683285,31.9230327608,-31.9230327608,139.6632683285,90.0
28.740000000000002,179.5670592795,303.2688112276,-303.2688112276,179.5670592795,90.0
